date,state,daily
2019-10-15,Malaysia,1719
2019-10-16,Malaysia,1845
2019-10-17,Malaysia,2095
2019-10-18,Malaysia,1181
2019-10-19,Malaysia,961
2019-10-20,Malaysia,1053
2019-10-21,Malaysia,1786
2019-10-22,Malaysia,1914
2019-10-23,Malaysia,1928
2019-10-24,Malaysia,1850
2019-10-25,Malaysia,1196
2019-10-26,Malaysia,565
2019-10-27,Malaysia,362
2019-10-28,Malaysia,838
2019-10-29,Malaysia,1673
2019-10-30,Malaysia,1773
2019-10-31,Malaysia,1688
2019-11-01,Malaysia,889
2019-11-02,Malaysia,785
2019-11-03,Malaysia,609
2019-11-04,Malaysia,1866
2019-11-05,Malaysia,1692
2019-11-06,Malaysia,1929
2019-11-07,Malaysia,1948
2019-11-08,Malaysia,1151
2019-11-09,Malaysia,487
2019-11-10,Malaysia,673
2019-11-11,Malaysia,1869
2019-11-12,Malaysia,2109
2019-11-13,Malaysia,2017
2019-11-14,Malaysia,2233
2019-11-15,Malaysia,1186
2019-11-16,Malaysia,1463
2019-11-17,Malaysia,984
2019-11-18,Malaysia,1767
2019-11-19,Malaysia,1973
2019-11-20,Malaysia,2126
2019-11-21,Malaysia,1860
2019-11-22,Malaysia,1296
2019-11-23,Malaysia,1300
2019-11-24,Malaysia,1128
2019-11-25,Malaysia,1882
2019-11-26,Malaysia,2269
2019-11-27,Malaysia,2268
2019-11-28,Malaysia,2122
2019-11-29,Malaysia,1234
2019-11-30,Malaysia,759
2019-12-01,Malaysia,696
2019-12-02,Malaysia,1772
2019-12-03,Malaysia,2287
2019-12-04,Malaysia,1875
2019-12-05,Malaysia,1788
2019-12-06,Malaysia,1299
2019-12-07,Malaysia,1099
2019-12-08,Malaysia,1225
2019-12-09,Malaysia,1845
2019-12-10,Malaysia,2147
2019-12-11,Malaysia,2232
2019-12-12,Malaysia,2471
2019-12-13,Malaysia,1218
2019-12-14,Malaysia,613
2019-12-15,Malaysia,1175
2019-12-16,Malaysia,2238
2019-12-17,Malaysia,2906
2019-12-18,Malaysia,2280
